Region,Month of Period End,Median Sale Price,Median Sale Price MoM,Inventory,Inventory MoM,Supply,Mortgage Interested Rate 30
"Minneapolis, MN",2022-10-01 00:00:00,335000,0.015,1276,-0.07200000000000001,2.4,6.9
"Minneapolis, MN",2022-11-01 00:00:00,318000,-0.05,1107,-0.132,2.5,6.805
"Minneapolis, MN",2022-12-01 00:00:00,300000,-0.057,848,-0.23399999999999999,2.1,6.364
"Minneapolis, MN",2023-01-01 00:00:00,300000,0.0,740,-0.127,2.2,6.2725
"Minneapolis, MN",2023-02-01 00:00:00,300000,0.0,700,-0.054000000000000006,2.3,6.2575
"Minneapolis, MN",2023-03-01 00:00:00,315000,0.05,806,0.151,1.8,6.544
"Minneapolis, MN",2023-04-01 00:00:00,344000,0.091,849,0.053,1.8,6.3425
"Minneapolis, MN",2023-05-01 00:00:00,341000,-0.006999999999999999,941,0.10800000000000001,1.7,6.425
"Minneapolis, MN",2023-06-01 00:00:00,340000,-0.003,991,0.053,1.4,6.714
"Minneapolis, MN",2023-07-01 00:00:00,345000,0.015,986,-0.005,1.6,6.84
"Minneapolis, MN",2023-08-01 00:00:00,356000,0.032,1091,0.106,1.8,7.072
"Lakeville, MN",2018-01-01 00:00:00,338000,-0.016,210,0.034,4.2,4.0325
"Lakeville, MN",2018-02-01 00:00:00,355000,0.049,230,0.095,3.4,4.33
"Lakeville, MN",2018-03-01 00:00:00,350000,-0.013999999999999999,244,0.061,2.6,4.444
"Lakeville, MN",2018-04-01 00:00:00,334000,-0.046,210,-0.139,1.7,4.4675
"Lakeville, MN",2018-05-01 00:00:00,365000,0.09300000000000001,246,0.171,1.7,4.586
"Lakeville, MN",2018-06-01 00:00:00,349000,-0.044000000000000004,272,0.106,1.7,4.57
"Lakeville, MN",2018-07-01 00:00:00,330000,-0.054000000000000006,288,0.059000000000000004,2.1,4.5275
"Lakeville, MN",2018-08-01 00:00:00,357000,0.081,304,0.055999999999999994,2.4,4.55
"Lakeville, MN",2018-09-01 00:00:00,330000,-0.076,334,0.099,2.5,4.6275
"Lakeville, MN",2018-10-01 00:00:00,377000,0.141,312,-0.066,2.9,4.83
"Lakeville, MN",2018-11-01 00:00:00,369000,-0.02,265,-0.151,2.5,4.866
"Lakeville, MN",2018-12-01 00:00:00,375000,0.016,245,-0.075,2.5,4.6375
"Lakeville, MN",2019-01-01 00:00:00,336000,-0.10400000000000001,238,-0.028999999999999998,4.0,4.464
"Lakeville, MN",2019-02-01 00:00:00,373000,0.11,225,-0.055,3.4,4.37
"Lakeville, MN",2019-03-01 00:00:00,350000,-0.061,245,0.08900000000000001,2.7,4.265
"Lakeville, MN",2019-04-01 00:00:00,385000,0.1,243,-0.008,2.0,4.1425
"Lakeville, MN",2019-05-01 00:00:00,380000,-0.013000000000000001,286,0.177,2.1,4.072
"Lakeville, MN",2019-06-01 00:00:00,367000,-0.034,298,0.042,2.0,3.8025
"Lakeville, MN",2019-07-01 00:00:00,362000,-0.013999999999999999,262,-0.121,1.7,3.765
"Lakeville, MN",2019-08-01 00:00:00,381000,0.053,259,-0.011000000000000001,1.6,3.616
"Lakeville, MN",2019-09-01 00:00:00,395000,0.037000000000000005,282,0.08900000000000001,2.5,3.605
"Lakeville, MN",2019-10-01 00:00:00,366000,-0.07200000000000001,260,-0.078,2.3,3.688
"Lakeville, MN",2019-11-01 00:00:00,390000,0.064,221,-0.15,2.0,3.695
"Lakeville, MN",2019-12-01 00:00:00,360000,-0.077,178,-0.195,1.8,3.72
"Lakeville, MN",2020-01-01 00:00:00,417000,0.158,204,0.146,3.0,3.624
"Lakeville, MN",2020-02-01 00:00:00,398000,-0.044000000000000004,216,0.059000000000000004,3.4,3.465
"Lakeville, MN",2020-03-01 00:00:00,380000,-0.046,242,0.12,2.4,3.45
"Lakeville, MN",2020-04-01 00:00:00,380000,-0.001,244,0.008,2.3,3.306
"Lakeville, MN",2020-05-01 00:00:00,386000,0.013999999999999999,244,0.0,2.2,3.2325
